Year,Make,Model,Used/New,Price,ConsumerRating,ConsumerReviews,Drivetrain,MinMPG,MaxMPG,FuelType,Mileage
2016,volvo,xc90t6momentum,used,35998,4.5,69,awd,20,25,gasoline,56044
2020,honda,civicsport,certified,29628,4.9,169,fwd,29,35,gasoline,17288
2019,infiniti,qx80luxe,used,52506,4.8,26,rwd,14,20,gasoline,27017
2021,honda,pilotspecialedition,used,43704,4.8,63,awd,19,26,gasoline,6398
2018,honda,accordlx,certified,29275,4.8,652,fwd,30,38,gasoline,13112
2015,acura,mdx3.5l,used,23999,4.7,63,awd,18,27,gasoline,99697
2019,audi,q83.0tpremium,used,62995,4.8,27,awd,17,22,hybrid,30425
2017,nissan,maxima3.5s,used,19989,4.8,187,fwd,21,30,gasoline,48203
2017,chevrolet,traxls,certified,17488,4.5,183,fwd,25,33,gasoline,30364
2020,kia,telluridesx,used,46995,4.8,211,fwd,20,26,gasoline,33976
2020,chrysler,300s,used,31500,4.8,12,awd,18,27,gasoline,47004
2020,hyundai,santafelimited2.0t,used,34744,4.8,202,fwd,20,27,gasoline,39946
